Serial_number:
1064300
Project ID:

Location:
East Bridge
LEVEL
UNIT: m
Offset: 0.000000 m
Altitude: 0.000000 m
Density: 1.000000 kg/L
TEMPERATURE
UNIT: Deg C
Date,Time,ms,LEVEL,TEMPERATURE
6/17/2024,02:03:09 pm,0,0.002,21.90
6/17/2024,02:18:09 pm,0,0.002,23.50
6/17/2024,02:33:09 pm,0,0.699,21.40
6/17/2024,02:48:09 pm,0,0.698,21.10
6/17/2024,03:03:09 pm,0,0.699,21.10
6/17/2024,03:18:09 pm,0,0.696,21.10
6/17/2024,03:33:09 pm,0,0.696,21.10
6/17/2024,03:48:09 pm,0,0.697,21.10
6/17/2024,04:03:09 pm,0,0.697,21.20
6/17/2024,04:18:09 pm,0,0.696,21.20
6/17/2024,04:33:09 pm,0,0.696,21.20
6/17/2024,04:48:09 pm,0,0.697,21.20
6/17/2024,05:03:09 pm,0,0.695,21.30
6/17/2024,05:18:09 pm,0,0.694,21.30
6/17/2024,05:33:09 pm,0,0.695,21.30
6/17/2024,05:48:09 pm,0,0.694,21.30
6/17/2024,06:03:09 pm,0,0.693,21.30
6/17/2024,06:18:09 pm,0,0.694,21.40
6/17/2024,06:33:09 pm,0,0.693,21.40
6/17/2024,06:48:09 pm,0,0.693,21.40
6/17/2024,07:03:09 pm,0,0.693,21.40
6/17/2024,07:18:09 pm,0,0.692,21.40
6/17/2024,07:33:09 pm,0,0.692,21.50
6/17/2024,07:48:09 pm,0,0.693,21.50
6/17/2024,08:03:09 pm,0,0.693,21.50
6/17/2024,08:18:09 pm,0,0.691,21.50
6/17/2024,08:33:09 pm,0,0.692,21.50
6/17/2024,08:48:09 pm,0,0.693,21.50
6/17/2024,09:03:09 pm,0,0.694,21.60
6/17/2024,09:18:09 pm,0,0.694,21.50
6/17/2024,09:33:09 pm,0,0.695,21.50
6/17/2024,09:48:09 pm,0,0.692,21.50
6/17/2024,10:03:09 pm,0,0.691,21.50
6/17/2024,10:18:09 pm,0,0.694,21.50
6/17/2024,10:33:09 pm,0,0.691,21.50
6/17/2024,10:48:09 pm,0,0.692,21.50
6/17/2024,11:03:09 pm,0,0.693,21.50
6/17/2024,11:18:09 pm,0,0.693,21.60
6/17/2024,11:33:09 pm,0,0.692,21.60
6/17/2024,11:48:09 pm,0,0.693,21.60
6/18/2024,12:03:09 am,0,0.693,21.60
6/18/2024,12:18:09 am,0,0.690,21.50
6/18/2024,12:33:09 am,0,0.693,21.50
6/18/2024,12:48:09 am,0,0.692,21.50
6/18/2024,01:03:09 am,0,0.692,21.60
6/18/2024,01:18:09 am,0,0.691,21.60
6/18/2024,01:33:09 am,0,0.695,21.60
6/18/2024,01:48:09 am,0,0.692,21.60
6/18/2024,02:03:09 am,0,0.693,21.60
6/18/2024,02:18:09 am,0,0.694,21.60
6/18/2024,02:33:09 am,0,0.693,21.60
6/18/2024,02:48:09 am,0,0.694,21.70
6/18/2024,03:03:09 am,0,0.694,21.70
6/18/2024,03:18:09 am,0,0.693,21.70
6/18/2024,03:33:09 am,0,0.693,21.70
6/18/2024,03:48:09 am,0,0.694,21.60
6/18/2024,04:03:09 am,0,0.693,21.60
6/18/2024,04:18:09 am,0,0.692,21.50
6/18/2024,04:33:09 am,0,0.694,21.50
6/18/2024,04:48:09 am,0,0.692,21.40
6/18/2024,05:03:09 am,0,0.693,21.30
6/18/2024,05:18:09 am,0,0.692,21.20
6/18/2024,05:33:09 am,0,0.693,21.20
6/18/2024,05:48:09 am,0,0.694,21.10
6/18/2024,06:03:09 am,0,0.694,21.00
6/18/2024,06:18:09 am,0,0.693,21.00
6/18/2024,06:33:09 am,0,0.694,20.80
6/18/2024,06:48:09 am,0,0.692,20.70
6/18/2024,07:03:09 am,0,0.693,20.60
6/18/2024,07:18:09 am,0,0.692,20.40
6/18/2024,07:33:09 am,0,0.692,20.40
6/18/2024,07:48:09 am,0,0.691,20.30
6/18/2024,08:03:09 am,0,0.692,20.20
6/18/2024,08:18:09 am,0,0.692,20.20
6/18/2024,08:33:09 am,0,0.694,20.10
6/18/2024,08:48:09 am,0,0.693,20.10
6/18/2024,09:03:09 am,0,0.692,20.10
6/18/2024,09:18:09 am,0,0.693,20.00
6/18/2024,09:33:09 am,0,0.692,19.90
6/18/2024,09:48:09 am,0,0.692,19.90
6/18/2024,10:03:09 am,0,0.692,19.90
6/18/2024,10:18:09 am,0,0.693,19.90
6/18/2024,10:33:09 am,0,0.693,19.90
6/18/2024,10:48:09 am,0,0.691,20.00
6/18/2024,11:03:09 am,0,0.693,20.00
6/18/2024,11:18:09 am,0,0.690,20.10
6/18/2024,11:33:09 am,0,0.691,20.10
6/18/2024,11:48:09 am,0,0.692,20.20
6/18/2024,12:03:09 pm,0,0.693,20.30
6/18/2024,12:18:09 pm,0,0.692,20.30
6/18/2024,12:33:09 pm,0,0.693,20.40
6/18/2024,12:48:09 pm,0,0.692,20.50
6/18/2024,01:03:09 pm,0,0.693,20.70
6/18/2024,01:18:09 pm,0,0.693,20.80
6/18/2024,01:33:09 pm,0,0.691,20.80
6/18/2024,01:48:09 pm,0,0.691,20.90
6/18/2024,02:03:09 pm,0,0.691,20.90
6/18/2024,02:18:09 pm,0,0.690,21.00
6/18/2024,02:33:09 pm,0,0.690,21.00
6/18/2024,02:48:09 pm,0,0.690,21.00
6/18/2024,03:03:09 pm,0,0.690,21.00
6/18/2024,03:18:09 pm,0,0.689,21.00
6/18/2024,03:33:09 pm,0,0.690,21.10
6/18/2024,03:48:09 pm,0,0.689,21.10
6/18/2024,04:03:09 pm,0,0.687,21.10
6/18/2024,04:18:09 pm,0,0.689,21.20
6/18/2024,04:33:09 pm,0,0.688,21.20
6/18/2024,04:48:09 pm,0,0.687,21.20
6/18/2024,05:03:09 pm,0,0.687,21.20
6/18/2024,05:18:09 pm,0,0.687,21.20
6/18/2024,05:33:09 pm,0,0.685,21.30
6/18/2024,05:48:09 pm,0,0.686,21.30
6/18/2024,06:03:09 pm,0,0.685,21.30
6/18/2024,06:18:09 pm,0,0.686,21.40
6/18/2024,06:33:09 pm,0,0.686,21.40
6/18/2024,06:48:09 pm,0,0.685,21.40
6/18/2024,07:03:09 pm,0,0.685,21.40
6/18/2024,07:18:09 pm,0,0.684,21.50
6/18/2024,07:33:09 pm,0,0.685,21.50
6/18/2024,07:48:09 pm,0,0.684,21.50
6/18/2024,08:03:09 pm,0,0.684,21.50
6/18/2024,08:18:09 pm,0,0.683,21.50
6/18/2024,08:33:09 pm,0,0.683,21.50
6/18/2024,08:48:09 pm,0,0.683,21.50
6/18/2024,09:03:09 pm,0,0.684,21.50
6/18/2024,09:18:09 pm,0,0.685,21.60
6/18/2024,09:33:09 pm,0,0.684,21.60
6/18/2024,09:48:09 pm,0,0.684,21.60
6/18/2024,10:03:09 pm,0,0.684,21.60
6/18/2024,10:18:09 pm,0,0.685,21.60
6/18/2024,10:33:09 pm,0,0.685,21.60
6/18/2024,10:48:09 pm,0,0.685,21.60
6/18/2024,11:03:09 pm,0,0.683,21.60
6/18/2024,11:18:09 pm,0,0.684,21.60
6/18/2024,11:33:09 pm,0,0.684,21.60
6/18/2024,11:48:09 pm,0,0.684,21.60
6/19/2024,12:03:09 am,0,0.684,21.70
6/19/2024,12:18:09 am,0,0.684,21.70
6/19/2024,12:33:09 am,0,0.684,21.60
6/19/2024,12:48:09 am,0,0.685,21.60
6/19/2024,01:03:09 am,0,0.684,21.70
6/19/2024,01:18:09 am,0,0.684,21.70
6/19/2024,01:33:09 am,0,0.683,21.70
6/19/2024,01:48:09 am,0,0.684,21.70
6/19/2024,02:03:09 am,0,0.685,21.70
6/19/2024,02:18:09 am,0,0.685,21.80
6/19/2024,02:33:09 am,0,0.684,21.80
6/19/2024,02:48:09 am,0,0.684,21.80
6/19/2024,03:03:09 am,0,0.685,21.80
6/19/2024,03:18:09 am,0,0.686,21.70
6/19/2024,03:33:09 am,0,0.685,21.70
6/19/2024,03:48:09 am,0,0.685,21.70
6/19/2024,04:03:09 am,0,0.686,21.60
6/19/2024,04:18:09 am,0,0.685,21.60
6/19/2024,04:33:09 am,0,0.685,21.60
6/19/2024,04:48:09 am,0,0.685,21.50
6/19/2024,05:03:09 am,0,0.684,21.50
6/19/2024,05:18:09 am,0,0.683,21.40
6/19/2024,05:33:09 am,0,0.686,21.40
6/19/2024,05:48:09 am,0,0.685,21.30
6/19/2024,06:03:09 am,0,0.686,21.30
6/19/2024,06:18:09 am,0,0.685,21.30
6/19/2024,06:33:09 am,0,0.686,21.20
6/19/2024,06:48:09 am,0,0.686,21.20
6/19/2024,07:03:09 am,0,0.685,21.10
6/19/2024,07:18:09 am,0,0.686,21.10
6/19/2024,07:33:09 am,0,0.686,21.00
6/19/2024,07:48:09 am,0,0.686,21.00
6/19/2024,08:03:09 am,0,0.686,21.00
6/19/2024,08:18:09 am,0,0.685,20.90
6/19/2024,08:33:09 am,0,0.685,20.90
6/19/2024,08:48:09 am,0,0.684,20.90
6/19/2024,09:03:09 am,0,0.685,20.80
6/19/2024,09:18:09 am,0,0.685,20.80
6/19/2024,09:33:09 am,0,0.685,20.80
6/19/2024,09:48:09 am,0,0.685,20.80
6/19/2024,10:03:09 am,0,0.684,20.90
6/19/2024,10:18:09 am,0,0.686,20.90
6/19/2024,10:33:09 am,0,0.688,20.90
6/19/2024,10:48:09 am,0,0.686,20.90
6/19/2024,11:03:09 am,0,0.685,20.90
6/19/2024,11:18:09 am,0,0.685,21.00
6/19/2024,11:33:09 am,0,0.686,21.00
6/19/2024,11:48:09 am,0,0.685,21.00
6/19/2024,12:03:09 pm,0,0.685,21.00
6/19/2024,12:18:09 pm,0,0.686,21.00
6/19/2024,12:33:09 pm,0,0.687,21.10
6/19/2024,12:48:09 pm,0,0.687,21.10
6/19/2024,01:03:09 pm,0,0.686,21.20
6/19/2024,01:18:09 pm,0,0.686,21.30
6/19/2024,01:33:09 pm,0,0.687,21.30
6/19/2024,01:48:09 pm,0,0.685,21.40
6/19/2024,02:03:09 pm,0,0.686,21.40
6/19/2024,02:18:09 pm,0,0.685,21.50
6/19/2024,02:33:09 pm,0,0.686,21.60
6/19/2024,02:48:09 pm,0,0.685,21.60
6/19/2024,03:03:09 pm,0,0.685,21.60
6/19/2024,03:18:09 pm,0,0.683,21.70
6/19/2024,03:33:09 pm,0,0.685,21.70
6/19/2024,03:48:09 pm,0,0.684,21.70
6/19/2024,04:03:09 pm,0,0.683,21.70
6/19/2024,04:18:09 pm,0,0.683,21.80
6/19/2024,04:33:09 pm,0,0.682,21.80
6/19/2024,04:48:09 pm,0,0.682,21.80
6/19/2024,05:03:09 pm,0,0.682,21.80
6/19/2024,05:18:09 pm,0,0.682,21.80
6/19/2024,05:33:09 pm,0,0.682,21.90
6/19/2024,05:48:09 pm,0,0.681,21.90
6/19/2024,06:03:09 pm,0,0.681,21.90
6/19/2024,06:18:09 pm,0,0.681,22.00
6/19/2024,06:33:09 pm,0,0.681,22.00
6/19/2024,06:48:09 pm,0,0.680,22.10
6/19/2024,07:03:09 pm,0,0.680,22.10
6/19/2024,07:18:09 pm,0,0.680,22.20
6/19/2024,07:33:09 pm,0,0.679,22.20
6/19/2024,07:48:09 pm,0,0.681,22.20
6/19/2024,08:03:09 pm,0,0.679,22.30
6/19/2024,08:18:09 pm,0,0.680,22.40
6/19/2024,08:33:09 pm,0,0.678,22.40
6/19/2024,08:48:09 pm,0,0.680,22.40
6/19/2024,09:03:09 pm,0,0.679,22.40
6/19/2024,09:18:09 pm,0,0.680,22.50
6/19/2024,09:33:09 pm,0,0.680,22.50
6/19/2024,09:48:09 pm,0,0.680,22.50
6/19/2024,10:03:09 pm,0,0.680,22.50
6/19/2024,10:18:09 pm,0,0.679,22.50
6/19/2024,10:33:09 pm,0,0.679,22.40
6/19/2024,10:48:09 pm,0,0.679,22.40
6/19/2024,11:03:09 pm,0,0.679,22.40
6/19/2024,11:18:09 pm,0,0.679,22.30
6/19/2024,11:33:09 pm,0,0.678,22.30
6/19/2024,11:48:09 pm,0,0.679,22.30
6/20/2024,12:03:09 am,0,0.679,22.20
6/20/2024,12:18:09 am,0,0.680,22.20
6/20/2024,12:33:09 am,0,0.680,22.10
6/20/2024,12:48:09 am,0,0.680,22.00
6/20/2024,01:03:09 am,0,0.678,22.00
6/20/2024,01:18:09 am,0,0.679,21.90
6/20/2024,01:33:09 am,0,0.680,21.90
6/20/2024,01:48:09 am,0,0.679,21.90
6/20/2024,02:03:09 am,0,0.679,21.80
6/20/2024,02:18:09 am,0,0.679,21.70
6/20/2024,02:33:09 am,0,0.679,21.60
6/20/2024,02:48:09 am,0,0.680,21.60
6/20/2024,03:03:09 am,0,0.679,21.50
6/20/2024,03:18:09 am,0,0.681,21.40
6/20/2024,03:33:09 am,0,0.680,21.30
6/20/2024,03:48:09 am,0,0.681,21.20
6/20/2024,04:03:09 am,0,0.679,21.10
6/20/2024,04:18:09 am,0,0.681,21.00
6/20/2024,04:33:09 am,0,0.680,20.90
6/20/2024,04:48:09 am,0,0.679,20.80
6/20/2024,05:03:09 am,0,0.680,20.70
6/20/2024,05:18:09 am,0,0.681,20.50
6/20/2024,05:33:09 am,0,0.680,20.40
6/20/2024,05:48:09 am,0,0.681,20.40
6/20/2024,06:03:09 am,0,0.681,20.30
6/20/2024,06:18:09 am,0,0.681,20.30
6/20/2024,06:33:09 am,0,0.680,20.20
6/20/2024,06:48:09 am,0,0.681,20.30
6/20/2024,07:03:09 am,0,0.680,20.10
6/20/2024,07:18:09 am,0,0.680,20.00
6/20/2024,07:33:09 am,0,0.680,20.00
6/20/2024,07:48:09 am,0,0.681,19.90
6/20/2024,08:03:09 am,0,0.682,19.80
6/20/2024,08:18:09 am,0,0.680,19.80
6/20/2024,08:33:09 am,0,0.680,19.70
6/20/2024,08:48:09 am,0,0.681,19.60
6/20/2024,09:03:09 am,0,0.682,19.50
6/20/2024,09:18:09 am,0,0.681,19.50
6/20/2024,09:33:09 am,0,0.681,19.50
6/20/2024,09:48:09 am,0,0.680,19.50
6/20/2024,10:03:09 am,0,0.680,19.50
6/20/2024,10:18:09 am,0,0.680,19.50
6/20/2024,10:33:09 am,0,0.681,19.50
6/20/2024,10:48:09 am,0,0.680,19.60
6/20/2024,11:03:09 am,0,0.680,19.60
6/20/2024,11:18:09 am,0,0.680,19.60
6/20/2024,11:33:09 am,0,0.681,19.70
6/20/2024,11:48:09 am,0,0.681,19.80
6/20/2024,12:03:09 pm,0,0.678,19.80
6/20/2024,12:18:09 pm,0,0.681,19.90
6/20/2024,12:33:09 pm,0,0.680,20.00
6/20/2024,12:48:09 pm,0,0.680,20.10
6/20/2024,01:03:09 pm,0,0.680,20.20
6/20/2024,01:18:09 pm,0,0.680,20.30
6/20/2024,01:33:09 pm,0,0.680,20.40
6/20/2024,01:48:09 pm,0,0.680,20.40
6/20/2024,02:03:09 pm,0,0.680,20.50
6/20/2024,02:18:09 pm,0,0.680,20.50
6/20/2024,02:33:09 pm,0,0.681,20.60
6/20/2024,02:48:09 pm,0,0.680,20.70
6/20/2024,03:03:09 pm,0,0.679,20.70
6/20/2024,03:18:09 pm,0,0.679,20.70
6/20/2024,03:33:09 pm,0,0.679,20.70
6/20/2024,03:48:09 pm,0,0.678,20.80
6/20/2024,04:03:09 pm,0,0.679,20.90
6/20/2024,04:18:09 pm,0,0.677,20.90
6/20/2024,04:33:09 pm,0,0.678,21.00
6/20/2024,04:48:09 pm,0,0.677,21.00
6/20/2024,05:03:09 pm,0,0.676,21.10
6/20/2024,05:18:09 pm,0,0.676,21.10
6/20/2024,05:33:09 pm,0,0.675,21.10
6/20/2024,05:48:09 pm,0,0.674,21.20
6/20/2024,06:03:09 pm,0,0.675,21.20
6/20/2024,06:18:09 pm,0,0.676,21.30
6/20/2024,06:33:09 pm,0,0.674,21.40
6/20/2024,06:48:09 pm,0,0.675,21.40
6/20/2024,07:03:09 pm,0,0.674,21.40
6/20/2024,07:18:09 pm,0,0.675,21.50
6/20/2024,07:33:09 pm,0,0.674,21.50
6/20/2024,07:48:09 pm,0,0.673,21.50
6/20/2024,08:03:09 pm,0,0.673,21.60
6/20/2024,08:18:09 pm,0,0.672,21.60
6/20/2024,08:33:09 pm,0,0.673,21.60
6/20/2024,08:48:09 pm,0,0.673,21.70
6/20/2024,09:03:09 pm,0,0.675,21.70
6/20/2024,09:18:09 pm,0,0.674,21.70
6/20/2024,09:33:09 pm,0,0.674,21.80
6/20/2024,09:48:09 pm,0,0.672,21.80
6/20/2024,10:03:09 pm,0,0.675,21.80
6/20/2024,10:18:09 pm,0,0.672,21.80
6/20/2024,10:33:09 pm,0,0.672,21.80
6/20/2024,10:48:09 pm,0,0.672,21.80
6/20/2024,11:03:09 pm,0,0.673,21.80
6/20/2024,11:18:09 pm,0,0.672,21.80
6/20/2024,11:33:09 pm,0,0.672,21.80
6/20/2024,11:48:09 pm,0,0.674,21.90
6/21/2024,12:03:09 am,0,0.674,21.90
6/21/2024,12:18:09 am,0,0.673,21.90
6/21/2024,12:33:09 am,0,0.674,21.90
6/21/2024,12:48:09 am,0,0.674,21.90
6/21/2024,01:03:09 am,0,0.672,21.90
6/21/2024,01:18:09 am,0,0.674,21.90
6/21/2024,01:33:09 am,0,0.674,21.80
6/21/2024,01:48:09 am,0,0.674,21.80
6/21/2024,02:03:09 am,0,0.675,21.80
6/21/2024,02:18:09 am,0,0.675,21.70
6/21/2024,02:33:09 am,0,0.674,21.60
6/21/2024,02:48:09 am,0,0.675,21.60
6/21/2024,03:03:09 am,0,0.675,21.50
6/21/2024,03:18:09 am,0,0.675,21.40
6/21/2024,03:33:09 am,0,0.675,21.40
6/21/2024,03:48:09 am,0,0.674,21.30
6/21/2024,04:03:09 am,0,0.675,21.30
6/21/2024,04:18:09 am,0,0.674,21.20
6/21/2024,04:33:09 am,0,0.674,21.10
6/21/2024,04:48:09 am,0,0.675,21.10
6/21/2024,05:03:09 am,0,0.674,21.00
6/21/2024,05:18:09 am,0,0.674,20.90
6/21/2024,05:33:09 am,0,0.676,20.90
6/21/2024,05:48:09 am,0,0.675,20.80
6/21/2024,06:03:09 am,0,0.675,20.80
6/21/2024,06:18:09 am,0,0.676,20.70
6/21/2024,06:33:09 am,0,0.676,20.70
6/21/2024,06:48:09 am,0,0.675,20.60
6/21/2024,07:03:09 am,0,0.674,20.40
6/21/2024,07:18:09 am,0,0.673,20.40
6/21/2024,07:33:09 am,0,0.674,20.30
6/21/2024,07:48:09 am,0,0.674,20.30
6/21/2024,08:03:09 am,0,0.674,20.20
6/21/2024,08:18:09 am,0,0.676,20.20
6/21/2024,08:33:09 am,0,0.676,20.10
6/21/2024,08:48:09 am,0,0.675,20.10
6/21/2024,09:03:09 am,0,0.675,20.00
6/21/2024,09:18:09 am,0,0.675,20.00
6/21/2024,09:33:09 am,0,0.675,20.00
6/21/2024,09:48:09 am,0,0.674,20.00
6/21/2024,10:03:09 am,0,0.675,20.00
6/21/2024,10:18:09 am,0,0.675,20.00
6/21/2024,10:33:09 am,0,0.675,20.00
6/21/2024,10:48:09 am,0,0.675,20.00
6/21/2024,11:03:09 am,0,0.676,20.10
6/21/2024,11:18:09 am,0,0.676,20.10
6/21/2024,11:33:09 am,0,0.675,20.20
6/21/2024,11:48:09 am,0,0.677,20.20
6/21/2024,12:03:09 pm,0,0.676,20.30
6/21/2024,12:18:09 pm,0,0.676,20.40
6/21/2024,12:33:09 pm,0,0.675,20.50
6/21/2024,12:48:09 pm,0,0.676,20.60
6/21/2024,01:03:09 pm,0,0.675,20.70
6/21/2024,01:18:09 pm,0,0.675,20.80
6/21/2024,01:33:09 pm,0,0.675,20.90
6/21/2024,01:48:09 pm,0,0.675,21.00
6/21/2024,02:03:09 pm,0,0.674,21.00
6/21/2024,02:18:09 pm,0,0.674,21.10
6/21/2024,02:33:09 pm,0,0.675,21.10
6/21/2024,02:48:09 pm,0,0.674,21.10
6/21/2024,03:03:09 pm,0,0.674,21.10
6/21/2024,03:18:09 pm,0,0.673,21.20
6/21/2024,03:33:09 pm,0,0.673,21.20
6/21/2024,03:48:09 pm,0,0.673,21.20
6/21/2024,04:03:09 pm,0,0.671,21.30
6/21/2024,04:18:09 pm,0,0.672,21.30
6/21/2024,04:33:09 pm,0,0.672,21.30
6/21/2024,04:48:09 pm,0,0.671,21.40
6/21/2024,05:03:09 pm,0,0.672,21.50
6/21/2024,05:18:09 pm,0,0.672,21.50
6/21/2024,05:33:09 pm,0,0.672,21.60
6/21/2024,05:48:09 pm,0,0.671,21.60
6/21/2024,06:03:09 pm,0,0.671,21.70
6/21/2024,06:18:09 pm,0,0.669,21.70
6/21/2024,06:33:09 pm,0,0.671,21.80
6/21/2024,06:48:09 pm,0,0.670,21.80
6/21/2024,07:03:09 pm,0,0.670,21.90
6/21/2024,07:18:09 pm,0,0.669,22.00
6/21/2024,07:33:09 pm,0,0.669,22.00
6/21/2024,07:48:09 pm,0,0.669,22.10
6/21/2024,08:03:09 pm,0,0.669,22.10
6/21/2024,08:18:09 pm,0,0.669,22.10
6/21/2024,08:33:09 pm,0,0.667,22.30
6/21/2024,08:48:09 pm,0,0.670,22.50
6/21/2024,09:03:09 pm,0,0.670,22.60
6/21/2024,09:18:09 pm,0,0.670,22.50
6/21/2024,09:33:09 pm,0,0.669,22.40
6/21/2024,09:48:09 pm,0,0.668,22.40
6/21/2024,10:03:09 pm,0,0.668,22.40
6/21/2024,10:18:09 pm,0,0.667,22.40
6/21/2024,10:33:09 pm,0,0.667,22.40
6/21/2024,10:48:09 pm,0,0.667,22.40
6/21/2024,11:03:09 pm,0,0.668,22.50
6/21/2024,11:18:09 pm,0,0.669,22.60
6/21/2024,11:33:09 pm,0,0.668,22.60
6/21/2024,11:48:09 pm,0,0.668,22.60
6/22/2024,12:03:09 am,0,0.669,22.60
6/22/2024,12:18:09 am,0,0.668,22.60
6/22/2024,12:33:09 am,0,0.668,22.50
6/22/2024,12:48:09 am,0,0.668,22.50
6/22/2024,01:03:09 am,0,0.667,22.40
6/22/2024,01:18:09 am,0,0.669,22.40
6/22/2024,01:33:09 am,0,0.668,22.30
6/22/2024,01:48:09 am,0,0.668,22.20
6/22/2024,02:03:09 am,0,0.668,22.10
6/22/2024,02:18:09 am,0,0.668,22.00
6/22/2024,02:33:09 am,0,0.669,21.90
6/22/2024,02:48:09 am,0,0.669,21.80
6/22/2024,03:03:09 am,0,0.668,21.70
6/22/2024,03:18:09 am,0,0.669,21.70
6/22/2024,03:33:09 am,0,0.668,21.60
6/22/2024,03:48:09 am,0,0.668,21.50
6/22/2024,04:03:09 am,0,0.671,21.40
6/22/2024,04:18:09 am,0,0.669,21.40
6/22/2024,04:33:09 am,0,0.669,21.30
6/22/2024,04:48:09 am,0,0.669,21.20
6/22/2024,05:03:09 am,0,0.669,21.20
6/22/2024,05:18:09 am,0,0.670,21.10
6/22/2024,05:33:09 am,0,0.669,21.10
6/22/2024,05:48:09 am,0,0.669,21.00
6/22/2024,06:03:09 am,0,0.670,20.90
6/22/2024,06:18:09 am,0,0.669,20.90
6/22/2024,06:33:09 am,0,0.668,20.80
6/22/2024,06:48:09 am,0,0.668,20.80
6/22/2024,07:03:09 am,0,0.669,20.70
6/22/2024,07:18:09 am,0,0.668,20.70
6/22/2024,07:33:09 am,0,0.668,20.60
6/22/2024,07:48:09 am,0,0.668,20.60
6/22/2024,08:03:09 am,0,0.670,20.50
6/22/2024,08:18:09 am,0,0.670,20.50
6/22/2024,08:33:09 am,0,0.669,20.50
6/22/2024,08:48:09 am,0,0.669,20.50
6/22/2024,09:03:09 am,0,0.669,20.40
6/22/2024,09:18:09 am,0,0.669,20.40
6/22/2024,09:33:09 am,0,0.669,20.40
6/22/2024,09:48:09 am,0,0.669,20.40
6/22/2024,10:03:09 am,0,0.670,20.50
6/22/2024,10:18:09 am,0,0.670,20.50
6/22/2024,10:33:09 am,0,0.671,20.50
6/22/2024,10:48:09 am,0,0.670,20.50
6/22/2024,11:03:09 am,0,0.670,20.50
6/22/2024,11:18:09 am,0,0.670,20.50
6/22/2024,11:33:09 am,0,0.669,20.50
6/22/2024,11:48:09 am,0,0.671,20.60
6/22/2024,12:03:09 pm,0,0.669,20.60
6/22/2024,12:18:09 pm,0,0.669,20.70
6/22/2024,12:33:09 pm,0,0.669,20.80
6/22/2024,12:48:09 pm,0,0.668,20.90
6/22/2024,01:03:09 pm,0,0.670,21.00
6/22/2024,01:18:09 pm,0,0.670,21.10
6/22/2024,01:33:09 pm,0,0.669,21.20
6/22/2024,01:48:09 pm,0,0.670,21.30
6/22/2024,02:03:09 pm,0,0.669,21.30
6/22/2024,02:18:09 pm,0,0.668,21.40
6/22/2024,02:33:09 pm,0,0.669,21.40
6/22/2024,02:48:09 pm,0,0.668,21.40
6/22/2024,03:03:09 pm,0,0.668,21.40
6/22/2024,03:18:09 pm,0,0.668,21.40
6/22/2024,03:33:09 pm,0,0.668,21.50
6/22/2024,03:48:09 pm,0,0.669,21.50
6/22/2024,04:03:09 pm,0,0.668,21.50
6/22/2024,04:18:09 pm,0,0.668,21.60
6/22/2024,04:33:09 pm,0,0.668,21.60
6/22/2024,04:48:09 pm,0,0.667,21.70
6/22/2024,05:03:09 pm,0,0.667,21.70
6/22/2024,05:18:09 pm,0,0.666,21.80
6/22/2024,05:33:09 pm,0,0.666,21.90
6/22/2024,05:48:09 pm,0,0.667,21.90
6/22/2024,06:03:09 pm,0,0.667,21.90
6/22/2024,06:18:09 pm,0,0.666,22.00
6/22/2024,06:33:09 pm,0,0.666,22.00
6/22/2024,06:48:09 pm,0,0.666,22.10
6/22/2024,07:03:09 pm,0,0.666,22.20
6/22/2024,07:18:09 pm,0,0.664,22.20
6/22/2024,07:33:09 pm,0,0.667,22.30
6/22/2024,07:48:09 pm,0,0.665,22.40
6/22/2024,08:03:09 pm,0,0.666,22.40
6/22/2024,08:18:09 pm,0,0.665,22.50
6/22/2024,08:33:09 pm,0,0.665,22.60
6/22/2024,08:48:09 pm,0,0.665,22.70
6/22/2024,09:03:09 pm,0,0.665,22.80
6/22/2024,09:18:09 pm,0,0.665,22.80
6/22/2024,09:33:09 pm,0,0.665,22.90
6/22/2024,09:48:09 pm,0,0.665,23.00
6/22/2024,10:03:09 pm,0,0.666,23.00
6/22/2024,10:18:09 pm,0,0.664,23.10
6/22/2024,10:33:09 pm,0,0.666,23.10
6/22/2024,10:48:09 pm,0,0.665,23.10
6/22/2024,11:03:09 pm,0,0.665,23.10
6/22/2024,11:18:09 pm,0,0.665,23.00
6/22/2024,11:33:09 pm,0,0.664,23.00
6/22/2024,11:48:09 pm,0,0.662,23.00
6/23/2024,12:03:09 am,0,0.663,23.00
6/23/2024,12:18:09 am,0,0.662,23.00
6/23/2024,12:33:09 am,0,0.663,22.90
6/23/2024,12:48:09 am,0,0.663,22.90
6/23/2024,01:03:09 am,0,0.663,22.80
6/23/2024,01:18:09 am,0,0.664,22.80
6/23/2024,01:33:09 am,0,0.664,22.70
6/23/2024,01:48:09 am,0,0.663,22.60
6/23/2024,02:03:09 am,0,0.664,22.60
6/23/2024,02:18:09 am,0,0.664,22.50
6/23/2024,02:33:09 am,0,0.664,22.40
6/23/2024,02:48:09 am,0,0.664,22.40
6/23/2024,03:03:09 am,0,0.664,22.30
6/23/2024,03:18:09 am,0,0.663,22.30
6/23/2024,03:33:09 am,0,0.663,22.20
6/23/2024,03:48:09 am,0,0.665,22.20
6/23/2024,04:03:09 am,0,0.664,22.10
6/23/2024,04:18:09 am,0,0.663,22.00
6/23/2024,04:33:09 am,0,0.664,21.90
6/23/2024,04:48:09 am,0,0.663,21.90
6/23/2024,05:03:09 am,0,0.663,21.80
6/23/2024,05:18:09 am,0,0.663,21.80
6/23/2024,05:33:09 am,0,0.663,21.70
